,RunID,final_reward,max_reward,time_to_max_reward_sec,total_duration_sec,mean_policy_loss,mean_value_loss,mean_entropy,final_entropy,max_cpu_usage_percent,mean_cpu_usage_percent,max_ram_used_mb,mean_ram_used_mb,mean_cpu_frequency,max_cpu_frequency,max_gpu_usage_percent,mean_gpu_usage_percent,max_vram_used_mb,mean_vram_used_mb,max_game_cpu_usage_percent,mean_game_cpu_usage_percent,max_game_memory_usage_mb,mean_game_memory_usage_mb,id,os,cpu,physical_cores,system_ram_gb,gpu,GPU_ram_mb,cuda_version,training_type,game_name,batch_size,learning_rate,buffer_size,beta,epsilon,lambd,num_epoch,learning_rate_schedule,normalize,hidden_units,num_layers,vis_encode_type,reward_extrinsic_gamma,reward_extrinsic_strength,keep_checkpoints,max_steps,time_horizon,summary_freq
0,20251123-014754,58.5789566,58.5789566,636.4104004,636.4104004,0.0177604616,0.6451017582,1.3878668977,1.353452802,8.0,3.9295180677,16323.0,14435.0582173494,2267.333252,2267.333252,20.0,10.7449799103,1988.0,1758.4899578795,1.028237104,0.5814139341,0.0,0.0,5848,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000165,81920,0.001077,0.164,0.947,5.0,constant,True,32,1,simple,,,5,1000000,512,12000
1,20251123-015841,5.235752106,5.377957821,550.6408081,595.175354,0.0247099061,0.0188876832,1.3986947135,1.383175731,10.5,3.414056225,14286.33301,11743.3514094699,2267.333252,2267.333252,23.0,8.096385545,1735.0,1212.0381535904,1.23939085,0.6848362936,0.0,0.0,5849,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,3.3e-05,40960,0.004283,0.12,0.941,5.0,linear,False,256,2,simple,,,5,1000000,128,12000
2,20251123-020847,1.249706388,1.367556453,202.6998444,248.8567047,0.013440902,0.070979491,1.4175907955,1.414904118,5.699999809,2.4922764271,10554.0,10195.0812692683,2267.333252,2267.333252,1.666666627,1.012195122,1124.0,1124.0,0.990618527,0.6380969592,0.0,0.0,5850,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000142,327680,0.004455,0.201,0.926,4.0,linear,True,256,2,simple,,,5,500000,256,12000
3,20251123-021308,4.137004852,4.137004852,519.6694336,519.6694336,0.0185840625,0.2096956722,1.3904376346,1.348307252,5.75,2.4401606336,10402.33301,10191.1225172289,2267.333252,2267.333252,1.333333373,1.0000000036,1124.0,1114.3935738072,1.115403652,0.6571708045,0.0,0.0,5851,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000271,163840,0.005538,0.196,0.916,4.0,constant,True,64,1,simple,,,5,1000000,256,12000
4,20251123-022158,1.397089362,1.498047709,210.332962,302.1870422,0.017797254,0.1094904443,1.4124543086,1.404747963,5.466666698,2.3642276351,10431.33301,10288.487757561,2267.333252,2267.333252,1.333333373,1.0121951263,1112.0,1112.0,1.032576203,0.6535803029,0.0,0.0,5852,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000184,163840,0.009037,0.125,0.941,5.0,linear,False,256,3,simple,,,5,500000,128,12000
5,20251123-022714,1.226162791,1.250293493,29.45754623,54.36628723,0.024950845,0.331251711,1.4187595992,1.417717099,5.099999905,2.7250000389,10281.0,10211.708495,2267.333252,2267.333252,13.0,2.5833333359,1112.0,1112.0,0.82613641,0.6033881195,0.0,0.0,5853,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.000119,81920,0.00462,0.253,0.937,5.0,linear,True,64,3,simple,,,5,100000,128,12000
6,20251123-022819,94.35001373,94.35001373,871.2884521,871.2884521,0.0241213881,1.6278281608,1.3790954006,1.343011856,11.80000019,4.1578313256,10227.5,10184.727898012,2267.333252,2267.333252,9.0,1.396586346,1112.0,1112.0,1.380275011,0.6972468343,0.0,0.0,5854,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,5.9e-05,20480,0.006401,0.286,0.93,3.0,constant,True,32,2,simple,,,5,2000000,1024,12000
7,20251123-024301,100.0000153,100.0000153,181.7078857,855.9470215,0.0344459489,0.0078526034,0.9740616328,0.685329735,9.800000191,3.0290160693,10256.5,10221.4889460843,2267.333252,2267.333252,2.5,1.4508032135,1112.0,1112.0,1.15510428,0.7141349517,0.0,0.0,5855,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,0.000232,40960,0.006051,0.282,0.915,3.0,constant,True,64,1,simple,,,5,2000000,128,12000
8,20251123-025729,1.995876193,2.017921925,485.1455078,505.561615,0.0126773111,0.231044973,1.4087064669,1.39954567,6.266666889,2.6108433741,10353.33301,10280.9477483133,2267.333252,2267.333252,1.666666627,1.0000000029,1112.0,1112.0,1.159213543,0.6777311822,0.0,0.0,5856,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000129,81920,0.004336,0.184,0.938,4.0,linear,False,64,2,simple,,,5,1000000,512,12000
9,20251123-030604,1.277623773,1.313078403,570.9609375,648.7019043,0.0124281145,0.3238672637,1.4104551579,1.405318618,5.199999809,2.3558232827,10471.66699,10351.7208913253,2267.333252,2267.333252,1.333333373,1.0220883575,1113.0,1112.9939759036,1.107769012,0.675534271,0.0,0.0,5857,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,6.3e-05,163840,0.003198,0.176,0.936,8.0,linear,False,64,1,simple,,,5,1000000,1024,12000
