episode,step,agent_id,observation,continuous_action,discrete_action,reward,done,action
0,0,0,"[0.0824706107378006, -0.05732698366045952, 1.2129707336425781, 3.9960761070251465, -0.01134490966796875, 0.0, -0.1961999237537384, 0.0]","[0.48131898045539856, 0.7150231003761292]",[],0.1,False,
0,0,1,"[0.014319943264126778, 0.005902247037738562, -0.8118343353271484, 3.9960761070251465, -1.255174160003662, 0.0, -0.1961999237537384, 0.0]","[0.692074179649353, 0.9719658493995667]",[],0.1,False,
0,0,2,"[-0.06095070764422417, -0.0785202831029892, -0.46013641357421875, 3.9960756301879883, 0.002681732177734375, 0.0, -0.1961999237537384, 0.0]","[-0.09457235038280487, -0.9824526906013489]",[],0.1,False,
0,0,3,"[0.023986561223864555, 0.004823086783289909, -0.042514801025390625, 3.9960761070251465, -0.30794620513916016, 0.0, -0.1961999237537384, 0.0]","[-0.8281015753746033, -0.2867370545864105]",[],0.1,False,
0,0,4,"[0.021631214767694473, 0.07771182805299759, -0.8452663421630859, 3.9960756301879883, -0.8170504570007324, 0.0, -0.1961999237537384, 0.0]","[-0.8682055473327637, -0.6030400991439819]",[],0.1,False,
0,0,5,"[-0.07543659955263138, -0.03018558956682682, 1.4670614004135132, 3.9960756301879883, -1.2722761631011963, 0.0, -0.1961999237537384, 0.0]","[0.9311311841011047, 0.056338466703891754]",[],0.1,False,
0,0,6,"[-0.05529165640473366, 0.046795137226581573, -0.10452842712402344, 3.9960756301879883, 0.4998183250427246, 0.0, -0.1961999237537384, 0.0]","[-0.16063548624515533, -0.7295836210250854]",[],0.1,False,
0,0,7,"[-0.004832122940570116, -0.009463541209697723, -0.7351281642913818, 3.9960761070251465, -0.3298468589782715, 0.0, -0.1961999237537384, 0.0]","[0.9690918326377869, 0.34448546171188354]",[],0.1,False,
0,0,8,"[0.0034269692841917276, 0.023917531594634056, 0.9513959884643555, 3.9960761070251465, 1.4454998970031738, 0.0, -0.1961999237537384, 0.0]","[-0.39059603214263916, -0.6046253442764282]",[],0.1,False,
0,0,9,"[-0.011779182590544224, -0.05825803801417351, 0.4764818549156189, 3.9960761070251465, -0.8133816719055176, 0.0, -0.1961999237537384, 0.0]","[-0.7701142430305481, 0.6546918153762817]",[],0.1,False,
0,0,10,"[0.06516821682453156, -0.0744529515504837, -0.7088899612426758, 3.9960761070251465, 0.03386116027832031, 0.0, -0.1961999237537384, 0.0]","[0.8552628755569458, 0.21501198410987854]",[],0.1,False,
0,0,11,"[0.04420943558216095, 0.05148576200008392, 0.6477146148681641, 3.9960761070251465, -0.6726169586181641, 0.0, -0.1961999237537384, 0.0]","[0.3202781081199646, 0.6720348596572876]",[],0.1,False,
0,1,0,"[0.12365954369306564, 0.005012651905417442, 1.2129707336425781, 3.9175961017608643, -0.01134490966796875, 0.0, -1.1771994829177856, 0.0]","[0.8447787761688232, 0.6069467067718506]",[],0.1,False,
0,1,1,"[0.07452837377786636, 0.09050330519676208, -0.8118343353271484, 3.9175961017608643, -1.255174160003662, 0.0, -1.1771994829177856, 0.0]","[-0.1363227218389511, 0.829494059085846]",[],0.1,False,
0,1,2,"[-0.06934899091720581, -0.16338478028774261, -0.46013641357421875, 3.917595863342285, 0.002681732177734375, 0.0, -1.1771994829177856, 0.0]","[-0.2863765358924866, -0.900822103023529]",[],0.1,False,
0,1,3,"[-0.048257410526275635, -0.02018040604889393, -0.042514801025390625, 3.9175963401794434, -0.30794620513916016, 0.0, -1.1771994829177856, 0.0]","[0.9678964018821716, 0.1921616792678833]",[],0.1,False,
0,1,4,"[-0.0538957454264164, 0.025116484612226486, -0.8452663421630859, 3.917595863342285, -0.8170504570007324, 0.0, -1.1771994829177856, 0.0]","[0.7659802436828613, -0.9531403183937073]",[],0.1,False,
0,1,5,"[0.005720006301999092, -0.025370802730321884, 1.4670614004135132, 3.917595863342285, -1.2722761631011963, 0.0, -1.1771994829177856, 0.0]","[0.7315943241119385, 0.6337212920188904]",[],0.1,False,
0,1,6,"[-0.06897152215242386, -0.016786210238933563, -0.10452842712402344, 3.917595863342285, 0.4998183250427246, 0.0, -1.1771994829177856, 0.0]","[-0.8198950290679932, -0.24210987985134125]",[],0.1,False,
0,1,7,"[0.0796339139342308, 0.020590389147400856, -0.7351281642913818, 3.9175963401794434, -0.3298468589782715, 0.0, -1.1771994829177856, 0.0]","[0.670589029788971, 0.5707817077636719]",[],0.1,False,
0,1,8,"[-0.030627654865384102, -0.028840530663728714, 0.9513959884643555, 3.9175961017608643, 1.4454998970031738, 0.0, -1.1771994829177856, 0.0]","[-0.11373697966337204, 0.17500977218151093]",[],0.1,False,
0,1,9,"[-0.07864606380462646, -0.0010403841733932495, 0.4764818549156189, 3.9175961017608643, -0.8133816719055176, 0.0, -1.1771994829177856, 0.0]","[0.9253802299499512, 0.20235730707645416]",[],0.1,False,
0,1,10,"[0.13905832171440125, -0.055236101150512695, -0.7088899612426758, 3.9175963401794434, 0.03386116027832031, 0.0, -1.1771994829177856, 0.0]","[-0.7705360651016235, 0.7513801455497742]",[],0.1,False,
0,1,11,"[0.07213081419467926, 0.10976778715848923, 0.6477146148681641, 3.9175963401794434, -0.6726169586181641, 0.0, -1.1771994829177856, 0.0]","[0.8449876308441162, 0.47073647379875183]",[],0.1,False,
0,2,0,"[0.19552183151245117, 0.05831684172153473, 1.2080631256103516, 3.772698402404785, -0.0089111328125, -0.24432797729969025, -0.5737622976303101, 0.12114207446575165]","[0.48960915207862854, -0.5212267637252808]",[],0.1,False,
0,2,1,"[0.06237976625561714, 0.1620745062828064, -0.8118343353271484, 3.741016387939453, -1.255174160003662, 0.0, -2.1581990718841553, 0.0]","[0.9057974815368652, -0.8056490421295166]",[],0.1,False,
0,2,2,"[-0.09374769032001495, -0.24007491767406464, -0.46013641357421875, 3.741016387939453, 0.002681732177734375, 0.0, -2.1581990718841553, 0.0]","[0.7601898908615112, -0.14977160096168518]",[],0.1,False,
0,2,3,"[0.036160532385110855, -0.0033681977074593306, -0.042514801025390625, 3.741016387939453, -0.30794620513916016, 0.0, -2.1581990718841553, 0.0]","[-0.8955726623535156, -0.6753399968147278]",[],0.1,False,
0,2,4,"[0.013295987620949745, -0.05769576504826546, -0.8452663421630859, 3.741016387939453, -0.8170504570007324, 0.0, -2.1581990718841553, 0.0]","[-0.1499023139476776, -0.6512326002120972]",[],0.1,False,
0,2,5,"[0.06943178921937943, 0.02992318943142891, 1.4670614004135132, 3.741016387939453, -1.2722761631011963, 0.0, -2.1581990718841553, 0.0]","[0.7408540844917297, -0.22249238193035126]",[],0.1,False,
