run_id,os,cpu,physical_cores,system_ram_gb,gpu,GPU_ram_mb,cuda_version,training_type,game_name,batch_size,learning_rate,buffer_size,beta,epsilon,lambd,num_epoch,learning_rate_schedule,normalize,hidden_units,num_layers,vis_encode_type,reward_extrinsic_gamma,reward_extrinsic_strength,keep_checkpoints,max_steps,time_horizon,summary_freq
20251123-014754,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000165,81920,0.001077,0.164,0.947,5,constant,True,32,1,simple,,,5,1000000,512,12000
20251123-015841,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,3.3e-05,40960,0.004283,0.12,0.941,5,linear,False,256,2,simple,,,5,1000000,128,12000
20251123-020847,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000142,327680,0.004455,0.201,0.926,4,linear,True,256,2,simple,,,5,500000,256,12000
20251123-021308,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000271,163840,0.005538,0.196,0.916,4,constant,True,64,1,simple,,,5,1000000,256,12000
20251123-022158,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000184,163840,0.009037,0.125,0.941,5,linear,False,256,3,simple,,,5,500000,128,12000
20251123-022714,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.000119,81920,0.00462,0.253,0.937,5,linear,True,64,3,simple,,,5,100000,128,12000
20251123-022819,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,5.9e-05,20480,0.006401,0.286,0.93,3,constant,True,32,2,simple,,,5,2000000,1024,12000
20251123-024301,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,0.000232,40960,0.006051,0.282,0.915,3,constant,True,64,1,simple,,,5,2000000,128,12000
20251123-025729,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000129,81920,0.004336,0.184,0.938,4,linear,False,64,2,simple,,,5,1000000,512,12000
20251123-030604,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,6.3e-05,163840,0.003198,0.176,0.936,8,linear,False,64,1,simple,,,5,1000000,1024,12000
20251123-031702,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.000121,81920,0.00556,0.272,0.935,3,linear,True,64,3,simple,,,5,250000,64,12000
20251123-031917,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000182,163840,0.003243,0.219,0.927,8,linear,False,128,2,simple,,,5,100000,2048,12000
20251123-032004,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,6.6e-05,163840,0.001795,0.284,0.907,8,constant,True,128,1,simple,,,5,100000,2048,12000
20251123-032052,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000188,81920,0.002583,0.203,0.936,4,linear,True,256,3,simple,,,5,100000,256,12000
20251123-032155,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000196,40960,0.001953,0.189,0.939,5,constant,False,64,2,simple,,,5,100000,1024,12000
20251123-032256,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,7.4e-05,40960,0.008641,0.123,0.92,5,linear,False,32,1,simple,,,5,250000,256,12000
20251123-032521,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.00012,20480,0.006944,0.26,0.94,10,linear,True,128,3,simple,,,5,100000,1024,12000
20251123-032640,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,4.1e-05,327680,0.009836,0.283,0.917,5,linear,False,512,2,simple,,,5,1000000,256,12000
20251123-033738,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,0.000123,10240,0.005823,0.202,0.938,5,linear,False,256,1,simple,,,5,500000,256,12000
20251123-034211,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,0.000246,20480,0.009447,0.229,0.93,5,linear,True,64,3,simple,,,5,100000,1024,12000
20251123-034315,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,9.6e-05,40960,0.002476,0.146,0.937,5,constant,True,512,1,simple,,,5,100000,2048,12000
20251123-034419,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,4.8e-05,40960,0.009916,0.268,0.917,8,constant,True,32,2,simple,,,5,1000000,128,12000
20251123-035450,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.00012,40960,0.002797,0.22,0.947,10,linear,True,64,1,simple,,,5,100000,64,12000
20251123-035606,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,4.7e-05,20480,0.002742,0.235,0.929,3,constant,False,32,1,simple,,,5,250000,256,12000
20251123-035815,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000148,163840,0.001393,0.18,0.92,8,constant,False,64,2,simple,,,5,100000,64,12000
20251123-035903,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000167,163840,0.004741,0.191,0.911,8,constant,True,256,1,simple,,,5,100000,512,12000
20251123-035951,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,5.3e-05,20480,0.001799,0.194,0.908,5,linear,True,256,2,simple,,,5,100000,64,12000
20251123-040056,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.000295,81920,0.002849,0.145,0.905,8,constant,True,64,2,simple,,,5,500000,128,12000
20251123-040632,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000284,40960,0.009072,0.225,0.942,8,constant,False,256,2,simple,,,5,250000,256,12000
20251123-040931,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,2.6e-05,10240,0.009625,0.231,0.92,4,linear,True,256,2,simple,,,5,250000,512,12000
